label,cluster_no
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,4
pigeonpeas,7
pigeonpeas,4
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,1
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,1
pigeonpeas,7
pigeonpeas,1
pigeonpeas,1
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,1
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,1
pigeonpeas,7
pigeonpeas,1
pigeonpeas,7
pigeonpeas,4
pigeonpeas,1
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,1
pigeonpeas,4
pigeonpeas,1
pigeonpeas,4
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,4
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,4
pigeonpeas,4
pigeonpeas,5
pigeonpeas,5
pigeonpeas,7
pigeonpeas,7
pigeonpeas,1
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,4
pigeonpeas,7
pigeonpeas,7
pigeonpeas,4
pigeonpeas,7
pigeonpeas,7
pigeonpeas,1
pigeonpeas,1
pigeonpeas,7
pigeonpeas,7
pigeonpeas,1
pigeonpeas,7
pigeonpeas,7
pigeonpeas,4
pigeonpeas,7
pigeonpeas,7
pigeonpeas,1
pigeonpeas,1
pigeonpeas,7
pigeonpeas,7
pigeonpeas,5
pigeonpeas,7
pigeonpeas,5
pigeonpeas,2
pigeonpeas,7
mothbeans,7
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,7
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,7
mothbeans,7
mothbeans,7
mothbeans,7
mothbeans,7
mothbeans,7
mothbeans,7
mothbeans,7
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,7
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,7
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,7
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,7
mothbeans,7
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,7
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,4
mothbeans,7
mothbeans,7
mungbean,4
mungbean,4
mungbean,4
mungbean,4
